tf	experiment_type	dataset
CENPS	HTS-LYS	YWO_A_AG40NTCGACT
CENPS	AFS-LYS	YWO_B_AffSeq_B1_CENPS
CENPT	HTS-IVT	YWJ_A_TA40NTTTGCG
CENPT	HTS-LYS	YWL_A_TA40NTTTGCG
CENPT	HTS-GFPIVT	YWM_A_CA40NCTTTGA
CENPT	PBM	PBM13541
CENPT	PBM	PBM13557
CENPT	AFS-LYS	YWL_B_AffSeq_G4_CENPT
CENPT	AFS-GFPIVT	YWM_B_AffSeq_C5_CENPT-FL
CENPX	CHS	THC_0539
CENPX	PBM	PBM13542
CENPX	PBM	PBM13558
CENPX	HTS-IVT	YWF_A_AT40NTCCCGA
CENPX	HTS-LYS	YWL_A_AT40NCGGGTT
CENPX	AFS-LYS	YWL_B_AffSeq_B11_CENPX
CENPX	HTS-GFPIVT	YWM_A_CT40NTCTAGT
CENPX	AFS-GFPIVT	YWM_B_AffSeq_D5_CENPX-FL
CGGBP1	PBM	PBM13543
CGGBP1	PBM	PBM13559
CGGBP1	CHS	THC_0635
CGGBP1	SMS	UT380-037
CGGBP1	HTS-IVT	YWC_A_TA40NGTTAGC
CGGBP1	HTS-LYS	YWL_A_CC40NCGTTTT
CGGBP1	AFS-LYS	YWL_B_AffSeq_C11_CGGBP1
CGGBP1	HTS-GFPIVT	YWM_A_GA40NACTTTG
CGGBP1	AFS-GFPIVT	YWM_B_AffSeq_E5_CGGBP1-FL
CHAMP1	PBM	PBM13565
CHAMP1	PBM	PBM13581
CHAMP1	CHS	THC_0246
CHAMP1	SMS	UT380-038-1
CHAMP1	SMS	UT380-038-2
CHAMP1	HTS-IVT	YWC_B_TA40NTCACTC
CHAMP1	HTS-LYS	YWK_A_AA40NAGTGGT
CHAMP1	AFS-LYS	YWK_B_AffSeq_A3_CHAMP1
CHAMP1	HTS-LYS	YWK_C_AA40NAGTGGT
CHAMP1	AFS-LYS	YWK_D_AffSeq_A3_CHAMP1
CHAMP1	HTS-GFPIVT	YWM_A_GT40NGGCATT
CHAMP1	HTS-GFPIVT	YWM_A_TA40NGAGGGT
CHAMP1	AFS-GFPIVT	YWM_B_AffSeq_F5_CHAMP1-DBD
CHAMP1	AFS-GFPIVT	YWM_B_AffSeq_G5_CHAMP1-FL
CHCHD3	CHS	THC_0466
CHCHD3	PBM	PBM13672
CHCHD3	PBM	PBM13688
CHCHD3	HTS-IVT	YWJ_A_TG40NCATATG
CHCHD3	HTS-LYS	YWL_A_CT40NTACGTT
