Index	Plasmid Number	Plasmid backbone	Plasmid Name	Insert Name	Gene Name	Notes	PBM_ME experiment ID(s)	PBM_HK experiment ID(s)	Plasmid Number	HT-Selex (IVT) experiment ID(s)	HT-Selex (Lysate) experiment ID(s)	AffiSeq (IVT) experiment ID(s)	AffiSeq (Lysate) experiment ID(s)	SMiLE-seq experiment ID(s)	ChIP-seq replicate 1	ChIP-seq replicate 2	
733	pTH14309	pTH6838	GST.NKRF.DBD	NKRF.DBD	NKRF	Codebook clone	13726	13742	pTH14309	#N/A					#N/A		
735	pTH14311	pTH6838	GST.PA2G4.FL	PA2G4.FL	PA2G4	Codebook clone	13727	13743	pTH14311	#N/A					#N/A		
736	pTH14312	pTH6838	GST.PCGF2.FL	PCGF2.FL	PCGF2	Codebook clone	13728	13744	pTH14312	#N/A					#N/A		
737	pTH14313	pTH6838	GST.PCGF6.FL	PCGF6.FL	PCGF6	Codebook clone	13729	13745	pTH14313	#N/A					#N/A		
740	pTH14316	pTH6838	GST.PLSCR1.FL	PLSCR1.FL	PLSCR1	Codebook clone	13730	13746	pTH14316	#N/A					#N/A		
742	pTH14318	pTH6838	GST.PREB.DBD	PREB.DBD	PREB	Codebook clone	13731	13747	pTH14318	#N/A					#N/A		
744	pTH14320	pTH6838	GST.PURG.FL	PURG.FL	PURG	Codebook clone	13733	13749	pTH14320	#N/A					#N/A		
745	pTH14321	pTH6838	GST.RAG1.DBD	RAG1.DBD	RAG1	Codebook clone	13734	13750	pTH14321	#N/A					#N/A		
748	pTH14324	pTH6838	GST.SAFB.DBD	SAFB.DBD	SAFB	Codebook clone	13735	13751	pTH14324	#N/A					#N/A		
749	pTH14325	pTH6838	GST.SAFB2.DBD	SAFB2.DBD	SAFB2	Codebook clone	13736	13752	pTH14325	#N/A					#N/A		
750	pTH14326	pTH6838	GST.SCMH1.DBD	SCMH1.DBD	SCMH1	Codebook clone	13753	13769	pTH14326	#N/A					#N/A		
752	pTH14328	pTH6838	GST.SNAPC2.FL	SNAPC2.FL	SNAPC2	Codebook clone	13755	13771	pTH14328	#N/A					#N/A		
754	pTH14330	pTH6838	GST.TCF20.DBD	TCF20.DBD	TCF20	Codebook clone	13756	13772	pTH14330	YWC_148					#N/A		
755	pTH14331	pTH6838	GST.TET2.DBDwLinker	TET2.DBDwLinker	TET2	Codebook clone	13757	13773	pTH14331	#N/A					#N/A		
756	pTH14332	pTH6838	GST.THYN1.FL	THYN1.FL	THYN1	Codebook clone	13758	13774	pTH14332	#N/A					#N/A		
757	pTH14333	pTH6838	GST.TMF1.DBD	TMF1.DBD	TMF1	Codebook clone	13759	13775	pTH14333	#N/A					#N/A		
761	pTH14337	pTH6838	GST.SP110.DBD	SP110.DBD	SP110	Codebook clone	13761	13777	pTH14337	#N/A					#N/A		
764	pTH14340	pTH6838	GST.SP140L.DBD	SP140L.DBD	SP140L	Codebook clone	13763	13779	pTH14340	YWC_150					#N/A		
727	pTH14303	pTH6838	GST.GPBP1.FL	GPBP1.FL	GPBP1	Codebook clone	13765	13781	pTH14303	#N/A					#N/A		
738	pTH14314	pTH6838	GST.PHF19.FL	PHF19.FL	PHF19	Codebook clone	13766	13782	pTH14314	#N/A					#N/A		
739	pTH14315	pTH6838	GST.PHF19.DBD	PHF19.DBD	PHF19	Codebook clone	13767	13783	pTH14315	#N/A					#N/A		
741	pTH14317	pTH6838	GST.PREB.FL	PREB.FL	PREB	Codebook clone	13768	13784	pTH14317	#N/A					#N/A		
335	pTH13911	pTH6838	GST.KDM5B.DBD	KDM5B.DBD	KDM5B	Codebook clone	13817	13833	pTH13911	#N/A					#N/A		
336	pTH13912	pTH6838	GST.ARID2.DBD	ARID2.DBD	ARID2	Codebook clone	13818	13834	pTH13912	#N/A					#N/A		
339	pTH13915	pTH6838	GST.AKNA.DBD.2	AKNA.DBD.2	AKNA	Codebook clone	13819	13835	pTH13915	#N/A					#N/A		
344	pTH13920	pTH6838	GST.PHF21A.DBD	PHF21A.DBD	PHF21A	Codebook clone	13820	13836	pTH13920	YWC_105					#N/A		
346	pTH13922	pTH6838	GST.SCML4.DBD	SCML4.DBD	SCML4	Codebook clone	13821	13837	pTH13922	#N/A					#N/A		
347	pTH13923	pTH6838	GST.SETBP1.DBD.1	SETBP1.DBD.1	SETBP1	Codebook clone	13822	13838	pTH13923	YWC_106					#N/A		
348	pTH13924	pTH6838	GST.SETBP1.DBD.2	SETBP1.DBD.2	SETBP1	Codebook clone	13823	13839	pTH13924	#N/A					#N/A		
349	pTH13925	pTH6838	GST.SETBP1.DBD.3	SETBP1.DBD.3	SETBP1	Codebook clone	13824	13840	pTH13925	YWC_107					#N/A		
350	pTH13926	pTH6838	GST.C11orf95.FL	C11orf95.FL	C11orf95	Codebook clone	13825	13841	pTH13926	YWC_086					#N/A		
