Experiment UNIQID (PBM ID)	ME/HK	Plasmid ID	Gene ID	Date	QC	Notes	Data file name	PBM assay no
PBM13516	HK	pTH13942	BATF2	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GB2_Cy5	13516
PBM13501	ME	pTH13943	BATF2	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GC1_Cy5	13501
PBM13517	HK	pTH13943	BATF2	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GC1_Cy5	13517
PBM13563	ME	pTH13944	CREB3L3	2018-08-30	Reject		2018-08-30_252207110427_S02_R0_GB1_Cy5	13563
PBM13579	HK	pTH13944	CREB3L3	2018-08-30	Reject		2018-08-30_252436510525_S02_R0_GB1_Cy5	13579
PBM13564	ME	pTH13945	CREB3L3	2018-08-30	Pass_matched_pair		2018-08-30_252207110427_S02_R0_GB2_Cy5	13564
PBM13580	HK	pTH13945	CREB3L3	2018-08-30	Pass_matched_pair		2018-08-30_252436510525_S02_R0_GB2_Cy5	13580
PBM13502	ME	pTH13946	AC008770	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GC2_Cy5	13502
PBM13518	HK	pTH13946	AC008770	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GC2_Cy5	13518
PBM13503	ME	pTH13947	AC008770	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GD1_Cy5	13503
PBM13519	HK	pTH13947	AC008770	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GD1_Cy5	13519
PBM13504	ME	pTH13949	AC092835	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GD2_Cy5	13504
PBM13520	HK	pTH13949	AC092835	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GD2_Cy5	13520
PBM13505	ME	pTH13950	AKAP8	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GE1_Cy5	13505
PBM13521	HK	pTH13950	AKAP8	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GE1_Cy5	13521
PBM13506	ME	pTH13951	AKAP8L	2018-08-23	Pass_matched_pair		2018-08-23_252207110425_S02_R0_GE2_Cy5	13506
PBM13522	HK	pTH13951	AKAP8L	2018-08-23	Pass_matched_pair		2018-08-23_252436510524_S02_R0_GE2_Cy5	13522
PBM13507	ME	pTH13952	ANKZF1	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GF1_Cy5	13507
PBM13523	HK	pTH13952	ANKZF1	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GF1_Cy5	13523
PBM13508	ME	pTH13953	ATMIN	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GF2_Cy5	13508
PBM13524	HK	pTH13953	ATMIN	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GF2_Cy5	13524
PBM13401	ME	pTH13956	CCDC17	2018-06-07	Reject		2018-06-07_252207110421_S02_R0_GA1_Cy5	13401
PBM13417	HK	pTH13956	CCDC17	2018-06-07	Reject		2018-06-07_252436510520_S02_R0_GA1_Cy5	13417
PBM13565	ME	pTH13957	CHAMP1	2018-08-30	Pass_matched_pair		2018-08-30_252207110427_S02_R0_GC1_Cy5	13565
PBM13581	HK	pTH13957	CHAMP1	2018-08-30	Pass_matched_pair		2018-08-30_252436510525_S02_R0_GC1_Cy5	13581
PBM13566	ME	pTH13958	CPXCR1	2018-08-30	Reject		2018-08-30_252207110427_S02_R0_GC2_Cy5	13566
PBM13582	HK	pTH13958	CPXCR1	2018-08-30	Reject		2018-08-30_252436510525_S02_R0_GC2_Cy5	13582
PBM13567	ME	pTH13959	CPXCR1	2018-08-30	Reject		2018-08-30_252207110427_S02_R0_GD1_Cy5	13567
PBM13583	HK	pTH13959	CPXCR1	2018-08-30	Reject		2018-08-30_252436510525_S02_R0_GD1_Cy5	13583
PBM13568	ME	pTH13960	DZIP1	2018-08-30	Reject		2018-08-30_252207110427_S02_R0_GD2_Cy5	13568
PBM13584	HK	pTH13960	DZIP1	2018-08-30	Reject		2018-08-30_252436510525_S02_R0_GD2_Cy5	13584
PBM13569	ME	pTH13961	EEA1	2018-08-30	Reject		2018-08-30_252207110427_S02_R0_GE1_Cy5	13569
PBM13585	HK	pTH13961	EEA1	2018-08-30	Reject		2018-08-30_252436510525_S02_R0_GE1_Cy5	13585
PBM13913	ME	pTH14204	MBNL2	2018-11-15	Pass_matched_pair		2018-11-15_252207110430_S02_R0_GA1_Cy5	13913
PBM13929	HK	pTH14204	MBNL2	2018-11-15	Pass_matched_pair		2018-11-15_252436510616_S02_R0_GA1_Cy5	13929
PBM13470	ME	pTH14206	ZC3H8	2018-07-25	Reject		2018-07-25_252207110424_S02_R0_GC2_Cy5	13470
PBM13958	ME	pTH14206	ZC3H8	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GG2_Cy5	13958
PBM13486	HK	pTH14206	ZC3H8	2018-07-25	Passed		2018-07-25_252436510523_S02_R0_GC2_Cy5	13486
PBM14453	HK	pTH14206	ZC3H8	2019-10-31	Passed		2019-10-31_252436510644_S02_R0_GG1_Cy5	14453
PBM13914	ME	pTH14207	ZGPAT	2018-11-15	Reject		2018-11-15_252207110430_S02_R0_GA2_Cy5	13914
PBM13930	HK	pTH14207	ZGPAT	2018-11-15	Reject		2018-11-15_252436510616_S02_R0_GA2_Cy5	13930
PBM13915	ME	pTH14208	ZGPAT	2018-11-15	Reject		2018-11-15_252207110430_S02_R0_GB1_Cy5	13915
PBM13931	HK	pTH14208	ZGPAT	2018-11-15	Reject		2018-11-15_252436510616_S02_R0_GB1_Cy5	13931
PBM13932	HK	pTH14209	JRK	2018-11-15	Passed		2018-11-15_252436510616_S02_R0_GB2_Cy5	13932
PBM13916	ME	pTH14209	JRK	2018-11-15	Reject		2018-11-15_252207110430_S02_R0_GB2_Cy5	13916
PBM14310	ME	pTH14209	JRK	2019-06-27	Reject		2019-06-27_252207110462_S02_R0_GG2_Cy5	14310
PBM13698	ME	pTH14210	JRK	2018-10-24	Pass_matched_pair		2018-10-24_252207110433_S02_R0_GE2_Cy5	13698
PBM13714	HK	pTH14210	JRK	2018-10-24	Pass_matched_pair		2018-10-24_252436510529_S02_R0_GE2_Cy5	13714
PBM13933	HK	pTH14211	TIGD3	2018-11-15	Passed		2018-11-15_252436510616_S02_R0_GC1_Cy5	13933
PBM13917	ME	pTH14211	TIGD3	2018-11-15	Reject		2018-11-15_252207110430_S02_R0_GC1_Cy5	13917
PBM14311	ME	pTH14211	TIGD3	2019-06-27	Reject		2019-06-27_252207110462_S01_R0_GH1_Cy5	14311
PBM14437	ME	pTH14211	TIGD3	2019-10-31	Reject		2019-10-31_252207110466_S02_R0_GG1_Cy5	14437
PBM13699	ME	pTH14212	TIGD3	2018-10-24	Pass_matched_pair		2018-10-24_252207110433_S02_R0_GF1_Cy5	13699
PBM13715	HK	pTH14212	TIGD3	2018-10-24	Pass_matched_pair		2018-10-24_252436510529_S02_R0_GF1_Cy5	13715
PBM13918	ME	pTH14213	TIGD4	2018-11-15	Reject		2018-11-15_252207110430_S02_R0_GC2_Cy5	13918
PBM13934	HK	pTH14213	TIGD4	2018-11-15	Reject		2018-11-15_252436510616_S02_R0_GC2_Cy5	13934
PBM13700	ME	pTH14214	TIGD4	2018-10-24	Reject		2018-10-24_252207110433_S02_R0_GF2_Cy5	13700
PBM13716	HK	pTH14214	TIGD4	2018-10-24	Reject		2018-10-24_252436510529_S02_R0_GF2_Cy5	13716
PBM13919	ME	pTH14216	TIGD7	2018-11-15	Pass_matched_pair		2018-11-15_252207110430_S02_R0_GD1_Cy5	13919
PBM13935	HK	pTH14216	TIGD7	2018-11-15	Pass_matched_pair		2018-11-15_252436510616_S02_R0_GD1_Cy5	13935
PBM13701	ME	pTH14217	TIGD7	2018-10-24	Pass_matched_pair		2018-10-24_252207110433_S02_R0_GG1_Cy5	13701
PBM13717	HK	pTH14217	TIGD7	2018-10-24	Pass_matched_pair		2018-10-24_252436510529_S02_R0_GG1_Cy5	13717
PBM13538	ME	pTH14218	CAMTA1	2018-08-28	Reject		2018-08-28_252207110426_S02_R0_GE2_Cy5	13538
PBM13554	HK	pTH14218	CAMTA1	2018-08-28	Reject		2018-08-28_252436510522_S02_R0_GE2_Cy5	13554
PBM13539	ME	pTH14219	CAMTA2	2018-08-28	Reject		2018-08-28_252207110426_S02_R0_GF1_Cy5	13539
PBM13555	HK	pTH14219	CAMTA2	2018-08-28	Reject		2018-08-28_252436510522_S02_R0_GF1_Cy5	13555
PBM13920	ME	pTH14220	CXXC4	2018-11-15	Pass_matched_pair		2018-11-15_252207110430_S02_R0_GD2_Cy5	13920
PBM13936	HK	pTH14220	CXXC4	2018-11-15	Pass_matched_pair		2018-11-15_252436510616_S02_R0_GD2_Cy5	13936
PBM13570	ME	pTH14221	CXXC4	2018-08-30	Pass_matched_pair		2018-08-30_252207110427_S02_R0_GE2_Cy5	13570
PBM13586	HK	pTH14221	CXXC4	2018-08-30	Pass_matched_pair		2018-08-30_252436510525_S02_R0_GE2_Cy5	13586
PBM13921	ME	pTH14222	FBXL19	2018-11-15	Pass_matched_pair		2018-11-15_252207110430_S02_R0_GE1_Cy5	13921
PBM13937	HK	pTH14222	FBXL19	2018-11-15	Pass_matched_pair		2018-11-15_252436510616_S02_R0_GE1_Cy5	13937
PBM13922	ME	pTH14223	KDM2A	2018-11-15	Pass_matched_pair		2018-11-15_252207110430_S02_R0_GE2_Cy5	13922
PBM13938	HK	pTH14223	KDM2A	2018-11-15	Pass_matched_pair		2018-11-15_252436510616_S02_R0_GE2_Cy5	13938
PBM13923	ME	pTH14224	TET3	2018-11-15	Pass_matched_pair		2018-11-15_252207110430_S02_R0_GF1_Cy5	13923
PBM13939	HK	pTH14224	TET3	2018-11-15	Pass_matched_pair		2018-11-15_252436510616_S02_R0_GF1_Cy5	13939
PBM13593	ME	pTH14225	DMRTB1	2018-09-05	Pass_matched_pair		2018-09-05_252207110428_S02_R0_GA1_Cy5	13593
PBM13609	HK	pTH14225	DMRTB1	2018-09-05	Pass_matched_pair		2018-09-05_252436510526_S02_R0_GA1_Cy5	13609
PBM13594	ME	pTH14226	DMRTB1	2018-09-05	Pass_matched_pair		2018-09-05_252207110428_S02_R0_GA2_Cy5	13594
PBM13610	HK	pTH14226	DMRTB1	2018-09-05	Pass_matched_pair		2018-09-05_252436510526_S02_R0_GA2_Cy5	13610
PBM13940	HK	pTH14227	FLYWCH1	2018-11-15	Passed		2018-11-15_252436510616_S02_R0_GF2_Cy5	13940
PBM13924	ME	pTH14227	FLYWCH1	2018-11-15	Reject		2018-11-15_252207110430_S02_R0_GF2_Cy5	13924
PBM14312	ME	pTH14227	FLYWCH1	2019-06-27	Reject		2019-06-27_252207110462_S01_R0_GH2_Cy5	14312
PBM13627	ME	pTH14228	GATAD2A	2018-09-12	Reject		2018-09-12_252207110429_S02_R0_GB1_Cy5	13627
PBM13643	HK	pTH14228	GATAD2A	2018-09-12	Reject		2018-09-12_252436510527_S02_R0_GB1_Cy5	13643
PBM13628	ME	pTH14229	GATAD2B	2018-09-12	Reject		2018-09-12_252207110429_S02_R0_GB2_Cy5	13628
PBM13644	HK	pTH14229	GATAD2B	2018-09-12	Reject		2018-09-12_252436510527_S02_R0_GB2_Cy5	13644
PBM13629	ME	pTH14230	GATAD2B	2018-09-12	Reject		2018-09-12_252207110429_S02_R0_GC1_Cy5	13629
PBM13645	HK	pTH14230	GATAD2B	2018-09-12	Reject		2018-09-12_252436510527_S02_R0_GC1_Cy5	13645
PBM13925	ME	pTH14231	ZGLP1	2018-11-15	Pass_matched_pair		2018-11-15_252207110430_S02_R0_GG1_Cy5	13925
PBM13941	HK	pTH14231	ZGLP1	2018-11-15	Pass_matched_pair		2018-11-15_252436510616_S02_R0_GG1_Cy5	13941
PBM13702	ME	pTH14232	ZGLP1	2018-10-24	Pass_matched_pair		2018-10-24_252207110433_S02_R0_GG2_Cy5	13702
PBM13718	HK	pTH14232	ZGLP1	2018-10-24	Pass_matched_pair		2018-10-24_252436510529_S02_R0_GG2_Cy5	13718
PBM13630	ME	pTH14233	GRHL3	2018-09-12	Pass_matched_pair		2018-09-12_252207110429_S02_R0_GC2_Cy5	13630
PBM13646	HK	pTH14233	GRHL3	2018-09-12	Pass_matched_pair		2018-09-12_252436510527_S02_R0_GC2_Cy5	13646
PBM13926	ME	pTH14235	GTF2IRD2B	2018-11-15	Reject		2018-11-15_252207110430_S02_R0_GG2_Cy5	13926
PBM13942	HK	pTH14235	GTF2IRD2B	2018-11-15	Reject		2018-11-15_252436510616_S02_R0_GG2_Cy5	13942
PBM13631	ME	pTH14236	HMG20A	2018-09-12	Pass_matched_pair		2018-09-12_252207110429_S02_R0_GD1_Cy5	13631
PBM13647	HK	pTH14236	HMG20A	2018-09-12	Pass_matched_pair		2018-09-12_252436510527_S02_R0_GD1_Cy5	13647
PBM13632	ME	pTH14237	HMG20A	2018-09-12	Pass_matched_pair		2018-09-12_252207110429_S02_R0_GD2_Cy5	13632
PBM13648	HK	pTH14237	HMG20A	2018-09-12	Reject		2018-09-12_252436510527_S02_R0_GD2_Cy5	13648
PBM13976	HK	pTH14237	HMG20A	2018-11-28	Pass_matched_pair		2018-11-28_252436510624_S02_R0_GH2_Cy5	13976
PBM13703	ME	pTH14238	HMGN3	2018-10-24	Reject		2018-10-24_252207110433_S02_R0_GH1_Cy5	13703
PBM13719	HK	pTH14238	HMGN3	2018-10-24	Reject		2018-10-24_252436510529_S02_R0_GH1_Cy5	13719
PBM13509	ME	pTH14239	ADNP	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GG1_Cy5	13509
PBM13525	HK	pTH14239	ADNP	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GG1_Cy5	13525
PBM13510	ME	pTH14240	ADNP	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GG2_Cy5	13510
PBM13526	HK	pTH14240	ADNP	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GG2_Cy5	13526
PBM13511	ME	pTH14241	ADNP2	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GH1_Cy5	13511
PBM13527	HK	pTH14241	ADNP2	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GH1_Cy5	13527
PBM13512	ME	pTH14242	ADNP2	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GH2_Cy5	13512
PBM13528	HK	pTH14242	ADNP2	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GH2_Cy5	13528
PBM13704	ME	pTH14243	LEUTX	2018-10-24	Unsure		2018-10-24_252207110433_S02_R0_GH2_Cy5	13704
PBM14307	ME	pTH14243	LEUTX	2019-06-27	Pass_matched_pair		2019-06-27_252207110462_S02_R0_GF1_Cy5	14307
PBM13720	HK	pTH14243	LEUTX	2018-10-24	Unsure		2018-10-24_252436510529_S02_R0_GH2_Cy5	13720
PBM14323	HK	pTH14243	LEUTX	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GF1_Cy5	14323
PBM13927	ME	pTH14244	MKX	2018-11-15	Reject		2018-11-15_252207110430_S02_R0_GH1_Cy5	13927
PBM13943	HK	pTH14244	MKX	2018-11-15	Reject		2018-11-15_252436510616_S02_R0_GH1_Cy5	13943
PBM13657	ME	pTH14245	MKX	2018-10-25	Pass_matched_pair		2018-10-25_252207110434_S02_R0_GA1_Cy5	13657
PBM13673	HK	pTH14245	MKX	2018-10-25	Pass_matched_pair		2018-10-25_252436510613_S02_R0_GA1_Cy5	13673
PBM13658	ME	pTH14246	NANOGNB	2018-10-25	Reject		2018-10-25_252207110434_S02_R0_GA2_Cy5	13658
PBM13674	HK	pTH14246	NANOGNB	2018-10-25	Reject		2018-10-25_252436510613_S02_R0_GA2_Cy5	13674
PBM13928	ME	pTH14247	TPRX1	2018-11-15	Pass_matched_pair		2018-11-15_252207110430_S02_R0_GH2_Cy5	13928
PBM13944	HK	pTH14247	TPRX1	2018-11-15	Pass_matched_pair		2018-11-15_252436510616_S02_R0_GH2_Cy5	13944
PBM13659	ME	pTH14248	TPRX1	2018-10-25	Pass_matched_pair		2018-10-25_252207110434_S02_R0_GB1_Cy5	13659
PBM13675	HK	pTH14248	TPRX1	2018-10-25	Pass_matched_pair		2018-10-25_252436510613_S02_R0_GB1_Cy5	13675
PBM13849	ME	pTH14249	ZHX2	2018-11-19	Reject		2018-11-19_252207110445_S02_R0_GA1_Cy5	13849
PBM13865	HK	pTH14249	ZHX2	2018-11-19	Reject		2018-11-19_252436510617_S02_R0_GA1_Cy5	13865
PBM13850	ME	pTH14250	ZHX2	2018-11-19	Reject		2018-11-19_252207110445_S02_R0_GA2_Cy5	13850
PBM13866	HK	pTH14250	ZHX2	2018-11-19	Reject		2018-11-19_252436510617_S02_R0_GA2_Cy5	13866
PBM13851	ME	pTH14251	ZHX3	2018-11-19	Reject		2018-11-19_252207110445_S02_R0_GB1_Cy5	13851
PBM13867	HK	pTH14251	ZHX3	2018-11-19	Reject		2018-11-19_252436510617_S02_R0_GB1_Cy5	13867
PBM13852	ME	pTH14252	ZHX3	2018-11-19	Reject		2018-11-19_252207110445_S02_R0_GB2_Cy5	13852
PBM13868	HK	pTH14252	ZHX3	2018-11-19	Reject		2018-11-19_252436510617_S02_R0_GB2_Cy5	13868
PBM13853	ME	pTH14253	POU5F2	2018-11-19	Reject		2018-11-19_252207110445_S02_R0_GC1_Cy5	13853
PBM13869	HK	pTH14253	POU5F2	2018-11-19	Reject		2018-11-19_252436510617_S02_R0_GC1_Cy5	13869
PBM13854	ME	pTH14254	HSFX1	2018-11-19	Reject		2018-11-19_252207110445_S02_R0_GC2_Cy5	13854
PBM13870	HK	pTH14254	HSFX1	2018-11-19	Reject		2018-11-19_252436510617_S02_R0_GC2_Cy5	13870
PBM13633	ME	pTH14255	HSFX1	2018-09-12	Reject		2018-09-12_252207110429_S02_R0_GE1_Cy5	13633
PBM13649	HK	pTH14255	HSFX1	2018-09-12	Reject		2018-09-12_252436510527_S02_R0_GE1_Cy5	13649
PBM13634	ME	pTH14256	HSFX2	2018-09-12	Reject		2018-09-12_252207110429_S02_R0_GE2_Cy5	13634
PBM13650	HK	pTH14256	HSFX2	2018-09-12	Reject		2018-09-12_252436510527_S02_R0_GE2_Cy5	13650
PBM13660	ME	pTH14257	HSFX2	2018-10-25	Reject		2018-10-25_252207110434_S02_R0_GB2_Cy5	13660
