Experiment UNIQID (PBM ID)	ME/HK	Plasmid ID	Gene ID	Date	QC	Notes	Data file name	PBM assay no
PBM14341	ME	pTH15540	cJUN	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GG1_Cy5	14341
PBM14342	ME	pTH15541	YY1	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GG2_Cy5	14342
PBM14343	ME	pTH15542	GCM1	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GH1_Cy5	14343
PBM14344	ME	pTH15544	NR4A2	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GH2_Cy5	14344
PBM14434	ME	pTH15561	SOX5	2019-10-31	Pass_matched_pair		2019-10-31_252207110466_S02_R0_GE2_Cy5	14434
PBM14435	ME	pTH15569	CTCF	2019-10-31	Reject		2019-10-31_252207110466_S02_R0_GF1_Cy5	14435
PBM14436	ME	pTH15573	NFKB1	2019-10-31	Reject		2019-10-31_252207110466_S02_R0_GF2_Cy5	14436
PBM14317	HK	pTH15518	MAX	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GC1_Cy5	14317
PBM14318	HK	pTH15519	SRY	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GC2_Cy5	14318
PBM14319	HK	pTH15520	SOX15	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GD1_Cy5	14319
PBM14377	HK	pTH15521	MYF6	2019-07-25	Pass_matched_pair		2019-07-25_252436510642_S02_R0_GA1_Cy5	14377
PBM14378	HK	pTH15522	SOX2	2019-07-25	Pass_matched_pair		2019-07-25_252436510642_S02_R0_GA2_Cy5	14378
PBM14345	HK	pTH15523	JUNB	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GA1_Cy5	14345
PBM14346	HK	pTH15524	POU5F1	2019-07-17	Reject		2019-07-17_252436510641_S02_R0_GA2_Cy5	14346
PBM14320	HK	pTH15525	ZSCAN4	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GD2_Cy5	14320
PBM14321	HK	pTH15526	RXRA	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GE1_Cy5	14321
PBM14347	HK	pTH15530	FOSL2	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GB1_Cy5	14347
PBM14348	HK	pTH15531	LHX6	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GB2_Cy5	14348
PBM14349	HK	pTH15532	LEF1	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GC1_Cy5	14349
PBM14350	HK	pTH15533	VDR	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GC2_Cy5	14350
PBM14351	HK	pTH15534	FLI1	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GD1_Cy5	14351
PBM14352	HK	pTH15535	GABPA	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GD2_Cy5	14352
PBM14353	HK	pTH15536	RORB	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GE1_Cy5	14353
PBM14354	HK	pTH15537	RARA	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GE2_Cy5	14354
PBM14355	HK	pTH15538	NR1H4	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GF1_Cy5	14355
PBM14356	HK	pTH15539	PAX7	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GF2_Cy5	14356
PBM14357	HK	pTH15540	cJUN	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GG1_Cy5	14357
PBM14358	HK	pTH15541	YY1	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GG2_Cy5	14358
PBM14359	HK	pTH15542	GCM1	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GH1_Cy5	14359
PBM14360	HK	pTH15544	NR4A2	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GH2_Cy5	14360
PBM14450	HK	pTH15561	SOX5	2019-10-31	Pass_matched_pair		2019-10-31_252436510644_S02_R0_GE2_Cy5	14450
PBM14451	HK	pTH15569	CTCF	2019-10-31	Unsure		2019-10-31_252436510644_S02_R0_GF1_Cy5	14451
PBM14452	HK	pTH15573	NFKB1	2019-10-31	Reject		2019-10-31_252436510644_S02_R0_GF2_Cy5	14452
