ChIP experiment uinque ID	Plasmid ID	Gene ID	Sample ID	Submitted sample label	ChIP/INPUT	Replicate #	Comments	Data File ID	Sequencing Facility	Batch #
THC_0127	pTH13888	SNAPC2	pTH13888.1.2	RR_PE0094_SNAPC2_INPUT_2	INPUT	2	negative control sample	Plate_1_F12_S94_R2_001.fastq.gz	DSC	2
THC_0128	pTH13798	TIGD5	pTH13798.1.2	RR_PE0095_TIGD5_INPUT_2	INPUT	2	negative control sample	Plate_1_G12_S95_R2_001.fastq.gz	DSC	2
THC_0129	pTH13604	ZBED9	pTH13604.1.1	RR_PE0096_ZBED9_INPUT_1	INPUT	1	negative control sample	Plate_1_H12_S96_R2_001.fastq.gz	DSC	2
THC_0130	pTH13644	TRAFD1	pTH13644.1.1	RR_PE0099_TRAFD1_ChIP_1	ChIP	1		Plate_2_C1_S99_R1_001.fastq.gz	DSC	2
THC_0131	pTH13868	NACC2	pTH13868.1.1	RR_PE0102_NACC2_ChIP_1	ChIP	1		Plate_2_F1_S102_R2_001.fastq.gz	DSC	2
THC_0132	pTH13599	SGSM2	pTH13599.1.2	RR_PE0103_SGSM2_ChIP_2	ChIP	2		Plate_2_G1_S103_R2_001.fastq.gz	DSC	2
THC_0133	pTH13599	SGSM2	pTH13599.1.1	RR_PE0104_SGSM2_ChIP_1	ChIP	1		Plate_2_H1_S104_R1_001.fastq.gz	DSC	2
THC_0134	pTH13651	ZBTB8A	pTH13651.1.1	RR_PE0105_ZBTB8A_ChIP_1	ChIP	1		Plate_2_A2_S105_R2_001.fastq.gz	DSC	2
THC_0135	pTH13644	TRAFD1	pTH13644.1.2	RR_PE0106_TRAFD1_ChIP_2	ChIP	2		Plate_2_B2_S106_R2_001.fastq.gz	DSC	2
THC_0136	pTH13648	ZBTB46	pTH13648.1.2	RR_PE0107_ZBTB46_ChIP_2	ChIP	2		Plate_2_C2_S107_R2_001.fastq.gz	DSC	2
THC_0137	pTH13798	TIGD5	pTH13798.1.1	RR_PE0108_TIGD5_ChIP_1	ChIP	1		Plate_2_D2_S108_R1_001.fastq.gz	DSC	2
THC_0138	pTH13785	ZSCAN18	pTH13785.1.1	RR_PE0110_ZSCAN18_ChIP_1	ChIP	1		Plate_2_F2_S110_R2_001.fastq.gz	DSC	2
THC_0139	pTH13614	AC008770	pTH13614.1.1	RR_PE0111_AC008770_ChIP_1	CHIP 	1		Plate_2_G2_S111_R2_001.fastq.gz	DSC	2
THC_0140	pTH13601	ZBED3	pTH13601.1.2	RR_PE0115_ZBED3_ChIP_2	ChIP	2		Plate_2_C3_S115_R1_001.fastq.gz	DSC	2
THC_0141	pTH13652	ZBTB8B	pTH13652.1.2	RR_PE0116_ZBTB8B_ChIP_2	ChIP	2		Plate_2_D3_S116_R2_001.fastq.gz	DSC	2
THC_0142	pTH13848	ARHGAP35	pTH13848.1.2	RR_PE0117_ARHGAP35_ChIP_4	ChIP	2		Plate_2_E3_S117_R1_001.fastq.gz	DSC	2
THC_0143	pTH13652	ZBTB8B	pTH13652.1.1	RR_PE0123_ZBTB8B_ChIP_1	ChIP	1		Plate_2_C4_S123_R2_001.fastq.gz	DSC	2
THC_0144	pTH13594	PHF21A	pTH13594.1.2	RR_PE0124_PHF21A_ChIP_2	ChIP	2		Plate_2_D4_S124_R2_001.fastq.gz	DSC	2
THC_0145	pTH13787	ZSCAN25	pTH13787.1.1	RR_PE0127_ZSCAN25_ChIP_1	ChIP	1		Plate_2_G4_S127_R1_001.fastq.gz	DSC	2
