ID	TF	Peaks(/mnt/space/ivanyev/egrid/dfs/ctrl-subsampled0.02/peaks-interval)	RawFiles(/mnt/space/hughes/March2022/)	macs2-paired-end-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_MACS2-PE	QC.FRiP_GEM	QC.FRiP_SISSRS	QC.FRiP_CPICS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	align_count	align_percent	read_count
EXP997176	ZNF687	PEAKS997176	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13739_ZNF687_ChIP2_S25_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13739_ZNF687_ChIP2_S25_L001_R2_001.fastq.gz	49415	10417	8873	2316	325	0.144894384677551	0.024873753317136	0.017091200317837	0.004431436323048	0.993602	1.079065	0.993945	170.388727	1.214787	54604102	87.9806739348282	62063746
EXP997177	ZNF689	PEAKS997177	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13741_ZNF689_ChIP1_S26_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13741_ZNF689_ChIP1_S26_L001_R2_001.fastq.gz	616	174	517	6484	225	0.001261515641222	0.000332961009835	0.000365335741179	0.005091032165606	0.998105	1.014482	0.998396	666.415394	1.296546	29213274	82.3531577444676	35473168
EXP997178	ZNF699	PEAKS997178	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13743_ZNF699_ChIP2_S27_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13743_ZNF699_ChIP2_S27_L001_R2_001.fastq.gz	17284	3094	3276	7249	245	0.024649247559178	0.006042694766801	0.002277694004465	0.009132581370449	0.996821	1.039729	0.997053	356.565097	1.246379	44019746	84.3151243281758	52208600
EXP997179	ZNF703	PEAKS997179	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13746_ZNF703_ChIP2_S28_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13746_ZNF703_ChIP2_S28_L001_R2_001.fastq.gz	521	4	94	36	290	0.001024634741534	1.02435937611007E-05	6.46007283966187E-05	4.37280292812577E-05	0.997534	1.006543	0.997742	459.058233	1.043595	45251644	86.7197271185521	52181488
EXP997180	ZNF709	PEAKS997180	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13749_ZNF709_ChIP2_S29_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13749_ZNF709_ChIP2_S29_L001_R2_001.fastq.gz	217	66	114	27	275	0.001164838422632	0.000346930542678	9.59103527780963E-05	5.14465596807561E-05	0.996978	1.010189	0.997417	406.832819	1.281603	51844480	85.3426296085153	60748632
EXP997181	ZNF721	PEAKS997181	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13751_ZNF721_ChIP1_S227_L003_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13751_ZNF721_ChIP1_S227_L003_R2_001.fastq.gz	5237	3362	5791	23527	250	0.038387996730698	0.015256498650728	0.013222225773605	0.025104585698174	0.995559	1.112559	0.996191	293.814527	1.260908	34969764	74.9031403969349	46686646
EXP997182	ZNF726	PEAKS997182	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13753_ZNF726_ChIP2_S30_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13753_ZNF726_ChIP2_S30_L001_R2_001.fastq.gz	500	356	587	13938	220	0.002560986520339	0.001354045274778	0.000568152273986	0.01097401793006	0.997966	1.027259	0.99834	660.825977	1.170353	28013176	70.9569664520772	39479106
EXP997183	ZNF732	PEAKS997183	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13756_ZNF732_ChIP2_S31_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13756_ZNF732_ChIP2_S31_L001_R2_001.fastq.gz	5731	3420	2979	3749	240	0.013363579525953	0.007922185533959	0.002074102681636	0.008116809949809	0.995883	1.052322	0.996604	324.484468	1.313909	47653574	83.7733032730737	56883962
EXP997184	ZNF763	PEAKS997184	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13759_ZNF763_ChIP2_S228_L003_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13759_ZNF763_ChIP2_S228_L003_R2_001.fastq.gz	11	4	18	6	185	0.000165440134173	2.55527602949646E-05	4.55100256348275E-05	8.57975893115601E-06	0.999073	1.029176	0.999123	1194.725056	1.161688	17006812	50.6123034462399	33602130
EXP997185	ZNF773	PEAKS997185	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13761_ZNF773_ChIP1_S32_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13761_ZNF773_ChIP1_S32_L001_R2_001.fastq.gz	287	103	256	26710	200	0.001225712098325	0.00034834565101	0.000230708262453	0.017344019771817	0.998093	1.019233	0.998453	708.793342	1.186838	26963076	71.3439648409634	37793072
EXP997186	ZNF780B	PEAKS997186	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13763_ZNF780B_ChIP1_S33_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13763_ZNF780B_ChIP1_S33_L001_R2_001.fastq.gz	8812	6158	5275	12770	260	0.044774189216085	0.034493559342633	0.00821721434691	0.034831355388121	0.982641	1.233987	0.991789	194.269437	1.493217	39393920	79.0989932918922	49803314
EXP997187	ZNF700	PEAKS997187	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13745_ZNF700_ChIP1_S34_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13745_ZNF700_ChIP1_S34_L001_R2_001.fastq.gz	24	1	7	9714	205	0.001933898105296	3.12943840900109E-06	2.17164059291288E-05	0.006286093449014	0.99791	1.01565	0.998468	725.630272	1.199549	28278558	74.6924839734455	37859978
EXP997188	ZNF646	PEAKS997188	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13729_ZNF646_ChIP1_S35_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13729_ZNF646_ChIP1_S35_L001_R2_001.fastq.gz	225	6	133	508	235	0.000897988150915	1.12555351938134E-05	0.000113992228771	0.000391189717853	0.997481	1.009454	0.997878	496.536086	1.312709	41879234	83.4137157761485	50206652
EXP997189	ZNF800	PEAKS997189	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13766_ZNF800_ChIP1_S36_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13766_ZNF800_ChIP1_S36_L001_R2_001.fastq.gz	72163	16554	10118	4147	270	0.343520445328792	0.070946033394839	0.034962602647404	0.01642693816649	0.981187	1.316155	0.982468	61.049859	1.216897	47739958	82.186159976207	58087588
EXP997190	ZNF814	PEAKS997190	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13769_ZNF814_ChIP1_S37_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13769_ZNF814_ChIP1_S37_L001_R2_001.fastq.gz	631	243	1568	992	215	0.011842561895943	0.002742140985106	0.004464858795157	0.001832586182716	0.99611	1.02909	0.997362	444.402651	1.093151	35024526	70.5536801418465	49642380
EXP997191	ZNF831	PEAKS997191	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13772_ZNF831_ChIP1_S38_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13772_ZNF831_ChIP1_S38_L001_R2_001.fastq.gz	26356	15651	13581	16051	260	0.110340032689245	0.04469436402673	0.023215307108597	0.03010287307296	0.992691	1.191581	0.993417	163.77516	1.230673	43412820	81.1618693290169	53489182
EXP997192	ZNF841	PEAKS997192	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13774_ZNF841_ChIP1_S39_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13774_ZNF841_ChIP1_S39_L001_R2_001.fastq.gz	88577	2871	15603	24023	270	0.215892362395288	0.00738253066256	0.018146396765453	0.021745795562863	0.994796	1.059848	0.995443	230.832674	1.219267	38589328	76.2014004714577	50641232
EXP997193	ZNF845	PEAKS997193	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13776_ZNF845_ChIP1_S40_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13776_ZNF845_ChIP1_S40_L001_R2_001.fastq.gz	9309	4476	3646	3567	280	0.031053093915914	0.020387944321195	0.004419629922958	0.010249498640656	0.989754	1.141788	0.99405	230.505898	1.486145	49087846	85.9348199991793	57122184
EXP997194	ZNF865	PEAKS997194	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13779_ZNF865_ChIP1_S41_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13779_ZNF865_ChIP1_S41_L001_R2_001.fastq.gz	97164	106552	10028	4862	340	0.458278668111761	0.350942532579946	0.020932874800515	0.015591427422327	0.960909	2.266902	0.964708	31.180674	1.760884	61042020	87.9321902757361	69419424
EXP997195	ZGPAT	PEAKS997195	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13794_ZGPAT_ChIP2_S42_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13794_ZGPAT_ChIP2_S42_L001_R2_001.fastq.gz	764	5	174	115	230	0.001031595599769	9.83740713000922E-06	8.56674204238303E-05	0.000110158465258	0.997196	1.008285	0.997592	431.945086	1.204501	49495740	86.9235101055434	56941718
EXP997196	GATAD2A	PEAKS997196	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13808_GATAD2A_ChIP2_S43_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13808_GATAD2A_ChIP2_S43_L001_R2_001.fastq.gz	9	0	0	5269	205	0.000465382250961	0	0	0.003281505817442	0.998026	1.011488	0.998397	667.775748	1.214475	32623278	79.3662654183038	41104716
EXP997197	HSFX1	PEAKS997197	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13825_HSFX1_ChIP1_S229_L003_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13825_HSFX1_ChIP1_S229_L003_R2_001.fastq.gz	15	0	7	22380	205	0.000196179228558	0	8.46552018167742E-06	0.015654709835094	0.998505	1.019578	0.998658	795.086352	1.290277	31138148	79.171846789856	39329824
EXP997198	MSANTD1	PEAKS997198	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13827_MSANTD1_ChIP2_S44_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13827_MSANTD1_ChIP2_S44_L001_R2_001.fastq.gz	132990	62568	11302	18148	255	0.370086310235983	0.12306891254018	0.020026983022586	0.052037767848842	0.983246	1.333906	0.984344	67.624133	1.264217	53420154	90.7087877985587	58891928
EXP997199	MBD4	PEAKS997199	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13829_MBD4_ChIP2_S45_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13829_MBD4_ChIP2_S45_L001_R2_001.fastq.gz	44289	135	4962	388	280	0.065253483278773	0.000250412426949	0.004094171838037	0.000622865240749	0.996278	1.019272	0.996406	282.909743	1.207671	57236746	86.1597739294303	66430938
EXP997200	PIN1	PEAKS997200	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13831_PIN1_ChIP1_S46_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13831_PIN1_ChIP1_S46_L001_R2_001.fastq.gz	15	0	1	210	195	0.000220699716156	0	1.09764447690545E-06	0.000154109284558	0.998124	1.010898	0.998276	608.943236	1.271688	34695338	81.1264739001642	42766974
