experiment ID	pTH#	Gene ID	Sample ID	Submitted sample label	ChIP/Inpt	Replicate #	Comments	Data File ID1	Data File ID2	Sequencing Facility			
THC_0114	pTH13649	ZBTB47	pTH13649.1.2	RR_PE0077_ZBTB47_ChIP_2	ChIP	2		Plate_1_E10_S77_R2_001.fastq.gz	Plate_1_E10_S77_R1_001.fastq.gz	DSC			
THC_0116	pTH13604	ZBED9	pTH13604.1.2	RR_PE0081_ZBED9_ChIP_2	ChIP	2		Plate_1_A11_S81_R1_001.fastq.gz	Plate_1_A11_S81_R2_001.fastq.gz	DSC			
THC_0117	pTH13612	BATF2	pTH13612.1.2	RR_PE0082_BATF2_ChIP_2	CHIP 	2		Plate_1_B11_S82_R2_001.fastq.gz	Plate_1_B11_S82_R1_001.fastq.gz	DSC			
THC_0118	pTH13612	BATF2	pTH13612.1.1	RR_PE0083_BATF2_ChIP_1	CHIP 	1		Plate_1_C11_S83_R1_001.fastq.gz	Plate_1_C11_S83_R2_001.fastq.gz	DSC			
THC_0119	pTH13668	ZNF215	pTH13668.1.1	RR_PE0086_ZNF215_ChIP_1	ChIP	1		Plate_1_F11_S86_R1_001.fastq.gz	Plate_1_F11_S86_R2_001.fastq.gz	DSC			
THC_0120	pTH13817	ADNP2	pTH13817.1.2	RR_PE0087_ADNP2_ChIP_2	CHIP 	2		Plate_1_G11_S87_R1_001.fastq.gz	Plate_1_G11_S87_R2_001.fastq.gz	DSC			
THC_0121	pTH14538	RFX5	pTH14538.1.2	RR_PE0088_RXF5_ChIP_2	CHIP 	2		Plate_1_H11_S88_R2_001.fastq.gz	Plate_1_H11_S88_R1_001.fastq.gz	DSC			
THC_0122	pTH13896	RFX8	pTH13896.1.2	RR_PE0089_RFX8_INPUT_2	INPUT	2		Plate_1_A12_S89_R2_001.fastq.gz	Plate_1_A12_S89_R1_001.fastq.gz	DSC			
THC_0123	pTH13617	AKAP8L	pTH13617.1.1	RR_PE0090_AKAP8L_INPUT_1	INPUT	1		Plate_1_B12_S90_R1_001.fastq.gz	Plate_1_B12_S90_R2_001.fastq.gz	DSC			
THC_0124	pTH13618	ANKZF1	pTH13618.1.1	RR_PE0091_ANKZF1_INPUT_1	INPUT	1		Plate_1_C12_S91_R1_001.fastq.gz	Plate_1_C12_S91_R2_001.fastq.gz	DSC			
THC_0125	pTH13796	TIGD3	pTH13796.1.1	RR_PE0092_TIGD3_INPUT_1	INPUT	1		Plate_1_D12_S92_R2_001.fastq.gz	Plate_1_D12_S92_R1_001.fastq.gz	DSC			
THC_0126	pTH13599	SGSM2	pTH13599.1.1	RR_PE0093_SGSM2_INPUT_1	INPUT	1		Plate_1_E12_S93_R1_001.fastq.gz	Plate_1_E12_S93_R2_001.fastq.gz	DSC			
THC_0127	pTH13888	SNAPC2	pTH13888.1.2	RR_PE0094_SNAPC2_INPUT_2	INPUT	2		Plate_1_F12_S94_R2_001.fastq.gz	Plate_1_F12_S94_R1_001.fastq.gz	DSC			
THC_0128	pTH13798	TIGD5	pTH13798.1.2	RR_PE0095_TIGD5_INPUT_2	INPUT	2		Plate_1_G12_S95_R2_001.fastq.gz	Plate_1_G12_S95_R1_001.fastq.gz	DSC			
THC_0129	pTH13604	ZBED9	pTH13604.1.1	RR_PE0096_ZBED9_INPUT_1	INPUT	1		Plate_1_H12_S96_R2_001.fastq.gz	Plate_1_H12_S96_R1_001.fastq.gz	DSC			
THC_0130	pTH13644	TRAFD1	pTH13644.1.1	RR_PE0099_TRAFD1_ChIP_1	ChIP	1		Plate_2_C1_S99_R1_001.fastq.gz	Plate_2_C1_S99_R2_001.fastq.gz	DSC			
THC_0131	pTH13868	NACC2	pTH13868.1.1	RR_PE0102_NACC2_ChIP_1	ChIP	1		Plate_2_F1_S102_R2_001.fastq.gz	Plate_2_F1_S102_R1_001.fastq.gz	DSC			
THC_0132	pTH13599	SGSM2	pTH13599.1.2	RR_PE0103_SGSM2_ChIP_2	ChIP	2		Plate_2_G1_S103_R2_001.fastq.gz	Plate_2_G1_S103_R1_001.fastq.gz	DSC			
THC_0133	pTH13599	SGSM2	pTH13599.1.1	RR_PE0104_SGSM2_ChIP_1	ChIP	1		Plate_2_H1_S104_R1_001.fastq.gz	Plate_2_H1_S104_R2_001.fastq.gz	DSC			
THC_0134	pTH13651	ZBTB8A	pTH13651.1.1	RR_PE0105_ZBTB8A_ChIP_1	ChIP	1		Plate_2_A2_S105_R2_001.fastq.gz	Plate_2_A2_S105_R1_001.fastq.gz	DSC			
THC_0135	pTH13644	TRAFD1	pTH13644.1.2	RR_PE0106_TRAFD1_ChIP_2	ChIP	2		Plate_2_B2_S106_R2_001.fastq.gz	Plate_2_B2_S106_R1_001.fastq.gz	DSC			
THC_0136	pTH13648	ZBTB46	pTH13648.1.2	RR_PE0107_ZBTB46_ChIP_2	ChIP	2		Plate_2_C2_S107_R2_001.fastq.gz	Plate_2_C2_S107_R1_001.fastq.gz	DSC			
THC_0137	pTH13798	TIGD5	pTH13798.1.1	RR_PE0108_TIGD5_ChIP_1	ChIP	1		Plate_2_D2_S108_R1_001.fastq.gz	Plate_2_D2_S108_R2_001.fastq.gz	DSC			
THC_0138	pTH13785	ZSCAN18	pTH13785.1.1	RR_PE0110_ZSCAN18_ChIP_1	ChIP	1		Plate_2_F2_S110_R2_001.fastq.gz	Plate_2_F2_S110_R1_001.fastq.gz	DSC			
THC_0139	pTH13614	AC008770	pTH13614.1.1	RR_PE0111_AC008770_ChIP_1	CHIP 	1		Plate_2_G2_S111_R2_001.fastq.gz	Plate_2_G2_S111_R1_001.fastq.gz	DSC			
THC_0140	pTH13601	ZBED3	pTH13601.1.2	RR_PE0115_ZBED3_ChIP_2	ChIP	2		Plate_2_C3_S115_R1_001.fastq.gz	Plate_2_C3_S115_R2_001.fastq.gz	DSC			
THC_0141	pTH13652	ZBTB8B	pTH13652.1.2	RR_PE0116_ZBTB8B_ChIP_2	ChIP	2		Plate_2_D3_S116_R2_001.fastq.gz	Plate_2_D3_S116_R1_001.fastq.gz	DSC			
THC_0142	pTH13848	ARHGAP35	pTH13848.1.2	RR_PE0117_ARHGAP35_ChIP_4	ChIP	2		Plate_2_E3_S117_R1_001.fastq.gz	Plate_2_E3_S117_R2_001.fastq.gz	DSC			
THC_0143	pTH13652	ZBTB8B	pTH13652.1.1	RR_PE0123_ZBTB8B_ChIP_1	ChIP	1		Plate_2_C4_S123_R2_001.fastq.gz	Plate_2_C4_S123_R1_001.fastq.gz	DSC			
THC_0144	pTH13594	PHF21A	pTH13594.1.2	RR_PE0124_PHF21A_ChIP_2	ChIP	2		Plate_2_D4_S124_R2_001.fastq.gz	Plate_2_D4_S124_R1_001.fastq.gz	DSC			
THC_0145	pTH13787	ZSCAN25	pTH13787.1.1	RR_PE0127_ZSCAN25_ChIP_1	ChIP	1		Plate_2_G4_S127_R1_001.fastq.gz	Plate_2_G4_S127_R2_001.fastq.gz	DSC			
THC_0146	pTH13796	TIGD3	pTH13796.1.2	RR_PE0128_TIGD3_ChIP_2	ChIP	2		Plate_2_H4_S128_R1_001.fastq.gz	Plate_2_H4_S128_R2_001.fastq.gz	DSC			
THC_0147	pTH13651	ZBTB8A	pTH13651.1.2	RR_PE0130_ZBTB8A_ChIP_2	ChIP	2		Plate_2_B5_S130_R1_001.fastq.gz	Plate_2_B5_S130_R2_001.fastq.gz	DSC			
THC_0148	pTH13593	GLYR1	pTH13593.1.1	RR_PE0131_GLYR1_ChIP_1	ChIP	1		Plate_2_C5_S131_R1_001.fastq.gz	Plate_2_C5_S131_R2_001.fastq.gz	DSC			
THC_0149	pTH13646	ZBTB40	pTH13646.1.2	RR_PE0134_ZBTB40_ChIP_2	ChIP	2		Plate_2_F5_S134_R2_001.fastq.gz	Plate_2_F5_S134_R1_001.fastq.gz	DSC			
THC_0150	pTH13901	TBPL1	pTH13901.1.2	RR_PE0135_TBPL1_ChIP_2	ChIP	2		Plate_2_G5_S135_R1_001.fastq.gz	Plate_2_G5_S135_R2_001.fastq.gz	DSC			
THC_0151	pTH13893	THYN1	pTH13893.1.1	RR_PE0136_THYN1_ChIP_1	ChIP	1		Plate_2_H5_S136_R2_001.fastq.gz	Plate_2_H5_S136_R1_001.fastq.gz	DSC			
THC_0152	pTH13592	DNTTIP1	pTH13592.1.1	RR_PE0139_DNMTTIP1_ChIP_1	ChIP	1		Plate_2_C6_S139_R1_001.fastq.gz	Plate_2_C6_S139_R2_001.fastq.gz	DSC			
